Name,Industry,Location,Csize,Website,Funding Stage,Funding Amount,Contact Numbers of decision-makers
Resalta,Renewables And Environment,"Ljubljana,Slovenia",51-200',https://www.resalta.com,debt funding,€12M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Amber Group,Financial Services,Hong Kong,51-200',http://www.ambergroup.io,series a,$28M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Onsitego,Consumer Services,"Mumbai,India",51-200',https://onsitego.com,series b,$19M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Uman.ai,Computer Software,"Ghent,Belgium",1-10',http://uman.ai,seed,€500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Range,Internet,"San Francisco,United States",1-10',https://www.range.co,seed,$6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Oncodna,Biotechnology,"Charleroi,Belgium",51-200',http://www.oncodna.com,series b,$20.580135M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Foodmandu,Food & Beverages,"Kathmandu,Nepal",11-50',https://foodmandu.com,series b,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Bosta,Internet,"Cairo,Egypt",51-200',https://bosta.co,series a,$1.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Vatika Group,Real Estate,"Gurugram,India",501-1000',http://www.vatikagroup.com,debt funding,$85M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Genius Corner,E-learning,"Noida,India",11-50',http://www.geniuscorner.com,undisclosed,$250K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Agrichain,Information Technology And Services,Australia,11-50',https://agrichain.com,venture funding,$4.01445M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mutumutu,Insurance,"Prague,Czech Republic",11-50',https://www.mutumutu.cz,venture funding,$1.191487M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Limehome,Hospitality,"Munich,Germany",51-200',http://www.limehome.de,venture funding,€21M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
N2uitive,Insurance,"Seattle,United States",11-50',http://www.n2uitive.com,venture funding,$1.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Lite Access Technologies Inc.,Telecommunications,"Township Of Langley,Canada",11-50',http://liteaccess.com,undisclosed,$2.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Saberr,Human Resources,"London,United Kingdom",11-50',http://saberr.com,equity crowdfunding,£350K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cambridge Quantum Computing,Information Technology And Services,"Cambridge,United Kingdom",51-200',http://cambridgequantum.com,corporate funding,$67.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Climate Control Experts,Construction,"Las Vegas,United States",11-50',http://www.climatecontrolexperts.com,corporate funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Innovaccer Inc.,Information Technology And Services,"San Francisco,United States",501-1000',https://www.innovaccer.com,series c,$70M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Soar Robotics,Information Technology And Services,"Los Angeles,United States",1-10',https://www.soarrobotics.com,seed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Openblender,Computer Software,"San Diego,United States",1-10',https://www.openblender.io,undisclosed,$100K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Carevive Systems,Hospital & Health Care,"North Miami Beach,United States",11-50',https://www.carevive.com,series c,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Elliptic,Financial Services,"London,United Kingdom",51-200',http://elliptic.co,series b,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Blockfi,Financial Services,"New York,United States",51-200',https://blockfi.com,series b,$508.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Esper,Information Technology & Services,"Bellevue,United States",51-200',http://esper.io,series a,$10.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Tamatem Inc.,Computer Games,"Amman,Jordan",51-200',http://tamatem.co,series a,$3.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Otawa Health,Computer Software,"So Paulo,Brazil",1-10',http://www.otawa.net,seed,$500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Confection.io,Computer Software,"Fremont,United States",1-10',https://confection.io,seed,$10K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Veritx,Aviation & Aerospace,"East Aurora,United States",1-10',http://www.veritx.biz,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Pacur,Plastics,"Oshkosh,United States",51-200',https://www.pacur.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Eskimoz,Internet,"Boulogne-billancourt,France",51-200',http://www.eskimoz.fr,private equity funding,€17M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Intigo,Transportation/trucking/railroad,"Ariana,Tunisia",1-10',https://intigo.tn,undisclosed,$300K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Armour Communications,Telecommunications,"London,United Kingdom",11-50',https://www.armourcomms.com,venture funding,$2.1679M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Shriram Transport,Financial Services,"Mumbai,India",null',http://www.stfc.in,undisclosed,$69.98875M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Tetra Bio-pharma,Biotechnology,"Ottawa,Canada",11-50',http://www.tetrabiopharma.com,undisclosed,CA$15.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Seqster,Information Technology And Services,"San Diego,United States",1-10',https://seqster.com,corporate funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Razor Edge Games,Computer Games,"Gilbert,United States",51-200',http://razoredgegames.com,grant,$1.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Amplify Intelligence,Computer & Network Security,"Melbourne,Australia",1-10',https://www.amplifyintelligence.com,grant,A$200K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Saym,Information Technology And Services,"Aachen,Germany",1-10',https://www.saym.io,grant,€36K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Intuition Robotics,Computer Software,"Ramat Gan,Israel",51-200',http://www.intuitionrobotics.com,series b,$36M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Yassir,Information Technology And Services,"Algiers,Algeria",51-200',https://yassir.io,seed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cloudcath,Medical Devices,"San Francisco,United States",11-50',https://www.cloudcath.com,series a,$12M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Prospection,Computer Software,"Sydney,Australia",51-200',https://www.prospection.com.au,series a,$6.71825M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Praetorian,Computer & Network Security,"Austin,United States",51-200',https://www.praetorian.com,series a,$10M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Double Loop Games,Entertainment,United States,1-10',https://www.doubleloopgames.com,seed,$2.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Agrando,Farming,"Munich,Germany",11-50',https://www.agrando.de,seed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Yimba,Computer Software,United Kingdom,1-10',https://www.yimba.com,seed,$326.035K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Southie Autonomy,Computer Software,"Boston,United States",1-10',https://www.southieautonomyworks.com,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Lauretta.io,Information Technology And Services,"Singapore,Singapore",1-10',http://www.lauretta.io,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Deep Instinct,Computer & Network Security,"New York,United States",51-200',http://www.deepinstinct.com,series c,$43M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Isotopen Technologien München,Pharmaceuticals,"Garching Bei München,Germany",11-50',http://www.itm.ag,debt funding,€200M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Tinubu Square,Computer Software,France,51-200',http://www.tinubu.com,venture funding,€15M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Korzinka,Retail,"Tashkent,Uzbekistan",51-200',https://korzinka.uz,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Spencer Ogden,Staffing And Recruiting,"London,United Kingdom",501-1000',https://www.spencer-ogden.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Santa Rita Landscaping,Construction,"Tucson,United States",1-10',https://santaritalandscaping.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Agile Sourcing Partners,Utilities,"Corona,United States",51-200',https://agilesourcingpartners.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Zemplee,Internet,"Los Gatos,United States",1-10',https://www.zemplee.com,venture funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Nyxoah,Medical Devices,"Mont-saint-guibert,Belgium",11-50',http://nyxoah.com,corporate funding,€25M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Medshare,Hospital & Health Care,"San Leandro,United States",11-50',http://www.medshare.org,grant,$500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Raritan Valley Community College,Higher Education,"Somerville,United States",501-1000',http://www.raritanval.edu,grant,$300K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Dealroom.co,Information Services,"London,United Kingdom",11-50',http://dealroom.co,series a,$2.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Imark International,Marketing And Advertising,"Makati,Philippines",1-10',https://www.imarkintl.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mylestones,"Health, Wellness And Fitness",United States,1-10',https://www.mylestonesapp.com,seed,$100K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Model 9,Information Technology And Services,"Tel Aviv-yafo,Israel",11-50',https://www.model9.io,series a,$9M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Databook,Computer Software,"Palo Alto,United States",11-50',https://www.trydatabook.com,seed,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Merryfield,Consumer Services,"Boston,United States",1-10',https://www.merryfield.com,seed,$3.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Peakmetrics,Internet,"Los Angeles,United States",1-10',http://www.peakm.com,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mesodyne,Nanotechnology,"Cambridge,United States",1-10',https://www.mesodyne.com,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cardiac Insight,Medical Devices,"Kirkland,United States",11-50',http://www.cardiacinsightinc.com,series d,$8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
